729 262.542 -50.1024 340.416 -8.7204 4.271 3.089 0.869 -0.416 0.242 0.351 0.055 0.015 4.5 3.1 19.7 72.9 7.694 5.916 4.712 0.023 0.04 0.026 0.41654 2.982 3.843 1.182 2.22 1.285 OH/IR
744 224.242 -57.689 319.097 1.1885 5.182 3.488 1.588 0.08 0.094 0.159 0.015 0.016 11.5 6.8 71.4 67.2 12.596 9.603 7.505 0.029 0.027 0.034 1.06817 5.091 5.917 1.694 1.9 1.508 OH/IR
760 274.384 -9.75051 20.3841 2.98356 5.136 3.63 1.866 0.046 0.133 0.169 0.008 0.012 8.2 6.4 143.1 91.1 15.986 12.663 10.082 0.113 0.034 0.019 0.047708 5.904 8.216 1.506 1.764 1.82 OH/IR
768 311.336 32.0449 74.3153 -6.76196 6.188 4.865 2.937 1.363 0.096 0.089 0.01 0.02 11.3 12.1 107 55 10.784 8.813 7.25 0.022 0.031 0.017 0.340826 3.534 4.313 1.323 1.928 1.574 OH/IR
783 289.979 10.0707 45.1338 -1.65427 4.688 3.354 1.51 0.123 0.14 0.258 0.024 0.014 7.7 4.2 44.4 76.8 13.713 10.702 8.489 0.036 0.025 0.023 0.981077 5.224 6.979 1.334 1.844 1.387 OH/IR
784 292.119 14.6978 50.2005 -1.30759 5.971 4.301 2.328 0.663 0.081 0.146 0.011 0.019 13.4 7.4 97.5 56.5 11.578 8.71 6.853 0.02 0.029 0.026 0.201066 4.725 4.525 1.67 1.973 1.665 OH/IR
803 272.351 -31.6576 0.203146 -5.80597 4.853 3.103 0.722 -0.358 0.151 0.304 0.051 0.013 7.2 3.6 21.3 82.4 9.032 7.538 6.244 0.03 0.04 0.023 0.193837 2.788 5.522 1.75 2.381 1.08 OH/IR
819 176.517 -62.5556 295.48 -0.633361 4.412 3.058 0.719 -0.676 0.262 0.326 0.035 0.009 4.1 3.3 30.9 122.4 10.979 8.292 6.299 0.022 0.046 0.024 0.202183 4.68 5.58 1.354 2.339 1.395 OH/IR
829 39.5521 56.5902 137.276 -3.27845 7.177 7.293 6.933 6.453 0.036 0.02 0.017 0.058 29.9 55.1 65.3 18.6 8.806 7.709 7.374 0.024 0.017 0.031 0.305202 1.432 0.441 -0.116 0.36 0.48 AGB*
831 305.777 10.0937 52.9734 -15.1468 7.506 7.279 4.841 3.758 0.027 0.02 0.013 0.023 40.2 54.5 81 46.6 9.013 8.128 7.831 0.023 0.047 0.026 0.058358 1.182 2.99 0.227 2.438 1.083 AGB*
833 217.766 -60.1732 315.023 0.338795 8.857 8.591 7.68 6.279 0.024 0.02 0.03 0.085 44.6 54.2 36.3 12.8 14.67 11.467 9.832 0.046 0.028 0.025 0.474123 4.838 2.152 0.266 0.911 1.401 AGB*
834 161.654 71.6088 135.698 42.2883 7.786 7.879 7.556 7.278 0.028 0.02 0.017 0.101 39.2 55.6 65.5 10.7 9.12 8.218 7.878 0.029 0.033 0.026 0.18762 1.242 0.322 -0.093 0.323 0.278 AGB*
